lw	uf
9.7438662	0.01296
9.7438662	0.01298
9.7438662	0.013
9.7438662	0.01302
9.7438662	0.01304
9.7438662	0.01306
9.7438662	0.01308
9.7438662	0.0131
9.7438662	0.01312
9.7438662	0.01314
9.7438662	0.01316
9.7438662	0.01318
9.7438662	0.0132
9.7438662	0.01322
9.7438662	0.01324
9.7438662	0.01326
9.7438662	0.01328
9.7438662	0.0133
9.7438662	0.01332
9.7438662	0.01334
9.7438662	0.01336
9.7438662	0.01338
9.7438662	0.0134
9.7438662	0.01342
9.7438662	0.01344
9.7438662	0.01346
9.7438662	0.01348
9.7438662	0.0135
9.7438662	0.01352
9.7438662	0.01354
9.7438662	0.01356
9.7438662	0.01358
9.7438662	0.0136
9.7438662	0.01362
9.7438662	0.01364
9.7438662	0.01366
9.7438662	0.01368
9.7438662	0.0137
9.7438662	0.01372
9.7438662	0.01374
9.7438662	0.01376
9.7438662	0.01378
9.7438662	0.0138
9.7438662	0.01382
9.7438662	0.01384
9.7438662	0.01386
9.7438662	0.01388
9.7438662	0.0139
9.7438662	0.01392
9.7438662	0.01394
9.7438662	0.01396
9.7438662	0.01398
9.7438662	0.014
9.7438662	0.01402
9.7438662	0.01404
9.7438662	0.01406
9.7438662	0.01408
9.7438662	0.0141
9.7438662	0.01412
9.7438662	0.01414
9.7438662	0.01416
9.7438662	0.01418
9.7438662	0.0142
9.7438662	0.01422
9.7438662	0.01424
9.7438662	0.01426
9.7438662	0.01428
9.7438662	0.0143
9.7438662	0.01432
9.7438662	0.01434
9.7438662	0.01436
9.7438662	0.01438
9.7438662	0.0144
9.7438662	0.01442
9.7438662	0.01444
9.7438662	0.01446
9.7438662	0.01448
9.7438662	0.0145
9.7438662	0.01452
9.7438662	0.01454
9.7438662	0.01456
9.7438662	0.01458
9.7438662	0.0146
9.7438662	0.01462
9.7438662	0.01464
9.7438662	0.01466
9.7438662	0.01468
9.7438662	0.0147
9.7438662	0.01472
9.7438662	0.01474
9.7438662	0.01476
9.7438662	0.01478
9.7438662	0.0148
9.7438662	0.01482
9.7438662	0.01484
9.7438662	0.01486
9.7438662	0.01488
9.7438662	0.0149
9.7438662	0.01492
9.7438662	0.01494
9.7438662	0.01496
9.7438662	0.01498
9.7438662	0.015
9.7438662	0.01502
9.7438662	0.01504
9.7438662	0.01506
9.7438662	0.01508
9.7438662	0.0151
9.7438662	0.01512
9.7438662	0.01514
9.7438662	0.01516
9.7438662	0.01518
9.7438662	0.0152
9.7438662	0.01522
9.7438662	0.01524
9.7438662	0.01526
9.7438662	0.01528
9.7438662	0.0153
9.7438662	0.01532
9.7438662	0.01534
9.7438662	0.01536
9.7438662	0.01538
9.7438662	0.0154
9.7438662	0.01542
9.7438662	0.01544
9.7438662	0.01546
9.7438662	0.01548
9.7438662	0.0155
9.7438662	0.01552
9.7438662	0.01554
9.7438662	0.01556
9.7438662	0.01558
9.7438662	0.0156
9.7438662	0.01562
9.7438662	0.01564
9.7438662	0.01566
9.7438662	0.01568
9.7438662	0.0157
9.7438662	0.01572
9.7438662	0.01574
9.7438662	0.01576
9.7438662	0.01578
9.7438662	0.0158
9.7438662	0.01582
9.7438662	0.01584
9.7438662	0.01586
9.7438662	0.01588
9.7438662	0.0159
9.7438662	0.01592
9.7438662	0.01594
9.7438662	0.01596
9.7438662	0.01598
9.7438662	0.016
9.7438662	0.01602
9.7438662	0.01604
9.7438662	0.01606
9.7438662	0.01608
9.7438662	0.0161
9.7438662	0.01612
9.7438662	0.01614
9.7438662	0.01616
9.7438662	0.01618
9.7438662	0.0162
9.7438662	0.01622
9.7438662	0.01624
9.7438662	0.01626
9.7438662	0.01628
9.7438662	0.0163
9.7438662	0.01632
9.7438662	0.01634
9.7438662	0.01636
9.7438662	0.01638
9.7438662	0.0164
9.7438662	0.01642
9.7438662	0.01644
9.7438662	0.01646
9.7438662	0.01648
9.7438662	0.0165
9.7438662	0.01652
9.7438662	0.01654
9.7438662	0.01656
9.7438662	0.01658
9.7438662	0.0166
9.7438662	0.01662
9.7438662	0.01664
9.7438662	0.01666
9.7438662	0.01668
9.7438662	0.0167
9.7438662	0.01672
9.7438662	0.01674
9.7438662	0.01676
9.7438662	0.01678
9.7438662	0.0168
9.7438662	0.01682
9.7438662	0.01684
9.7438662	0.01686
9.7438662	0.01688
9.7438662	0.0169
9.7438662	0.01692
9.7438662	0.01694
9.7438662	0.01696
9.7438662	0.01698
9.7438662	0.017
9.7438662	0.01702
9.7438662	0.01704
9.7438662	0.01706
9.7438662	0.01708
9.7438662	0.0171
9.7438662	0.01712
9.7438662	0.01714
9.7438662	0.01716
9.7438662	0.01718
9.7438662	0.0172
9.7438662	0.01722
9.7438662	0.01724
9.7438662	0.01726
9.7438662	0.01728
9.7438662	0.0173
9.7438662	0.01732
9.7438662	0.01734
9.7438662	0.01736
9.7438662	0.01738
9.7438662	0.0174
9.7438662	0.01742
9.7438662	0.01744
9.7438662	0.01746
9.7438662	0.01748
9.7438662	0.0175
9.7438662	0.01752
9.7438662	0.01754
9.7438662	0.01756
9.7438662	0.01758
9.7438662	0.0176
9.7438662	0.01762
9.7438662	0.01764
9.7438662	0.01766
9.7438662	0.01768
9.7438662	0.0177
9.7438662	0.01772
9.7438662	0.01774
9.7438662	0.01776
9.7438662	0.01778
9.7438662	0.0178
9.7438662	0.01782
9.7438662	0.01784
9.7438662	0.01786
